shop_id,feedback_rating,feedback_comment,delivery_timestamp
Shop_A,3,Items were fresh and well-packed.,2025-02-02 07:21:23
Shop_G,3,"Excellent quality, fast delivery!",2025-01-29 03:18:53
Shop_W,3,"Excellent quality, fast delivery!",2025-01-03 00:17:33
Shop_A,4,Items were fresh and well-packed.,2025-01-20 21:12:02
Shop_D,2,Delivery was very late.,2024-11-04 14:36:16
Shop_S,4,Items were fresh and well-packed.,2024-11-28 12:47:21
Shop_A,3,Timely delivery and good products.,2025-02-02 07:58:17
Shop_D,4,Timely delivery and good products.,2024-11-27 06:02:27
Shop_E,4,Very satisfied with the shop.,2025-02-22 10:30:40
Shop_A,2,Delivery was very late.,2024-12-27 23:40:25
Shop_X,4,"Excellent quality, fast delivery!",2024-12-06 07:06:53
Shop_W,3,Great service as always.,2024-12-27 07:06:37
Shop_Q,3,Great service as always.,2024-12-07 09:37:52
Shop_O,3,Very satisfied with the shop.,2025-02-06 09:56:43
Shop_A,2,Items not as expected.,2024-12-25 10:08:48
Shop_E,4,Items were fresh and well-packed.,2024-12-16 22:51:44
Shop_S,4,Timely delivery and good products.,2024-11-21 18:43:27
Shop_Z,4,Timely delivery and good products.,2024-09-27 12:22:13
Shop_F,5,Great service as always.,2025-02-06 04:19:15
Shop_Z,5,Very satisfied with the shop.,2024-11-17 07:45:03
Shop_D,3,Timely delivery and good products.,2025-01-02 01:18:30
Shop_I,4,Items were fresh and well-packed.,2025-02-22 05:52:06
Shop_P,4,"Excellent quality, fast delivery!",2024-11-10 18:04:55
Shop_B,3,Items were fresh and well-packed.,2024-11-14 15:12:35
Shop_D,3,Items were fresh and well-packed.,2025-01-21 13:18:55
Shop_D,3,Very satisfied with the shop.,2024-10-18 19:13:37
Shop_S,4,Very satisfied with the shop.,2024-09-05 23:21:09
Shop_L,4,Great service as always.,2024-10-25 08:15:48
Shop_H,3,Great service as always.,2024-09-19 20:41:39
Shop_F,5,Timely delivery and good products.,2024-12-17 23:50:47
Shop_F,4,Items were fresh and well-packed.,2025-01-02 04:11:14
Shop_Q,3,Very satisfied with the shop.,2025-02-18 03:17:54
Shop_D,4,Very satisfied with the shop.,2025-01-30 21:51:56
Shop_V,3,Timely delivery and good products.,2024-09-23 23:55:45
Shop_U,4,Timely delivery and good products.,2025-02-16 08:06:17
Shop_Q,3,Timely delivery and good products.,2024-12-18 14:25:53
Shop_R,4,Very satisfied with the shop.,2024-10-15 16:01:19
Shop_M,5,Great service as always.,2024-11-07 17:07:26
Shop_F,3,"Excellent quality, fast delivery!",2024-09-26 08:17:46
Shop_R,3,"Excellent quality, fast delivery!",2024-11-30 03:51:57
Shop_C,4,"Excellent quality, fast delivery!",2025-01-24 22:16:32
Shop_G,4,Timely delivery and good products.,2025-01-19 12:42:50
Shop_F,3,"Excellent quality, fast delivery!",2024-11-06 06:17:22
Shop_U,2,"Poor quality items, some were stale.",2025-01-26 17:19:40
Shop_U,4,Very satisfied with the shop.,2024-09-17 21:05:37
Shop_G,5,Great service as always.,2025-01-01 16:14:59
Shop_P,4,Great service as always.,2024-11-23 11:17:32
Shop_C,5,Timely delivery and good products.,2024-09-18 21:46:50
Shop_B,5,"Excellent quality, fast delivery!",2024-11-06 14:23:33
Shop_S,5,Timely delivery and good products.,2025-02-04 19:49:43
Shop_R,3,Great service as always.,2024-09-10 00:19:57
Shop_S,5,"Excellent quality, fast delivery!",2025-01-05 03:48:44
Shop_Z,3,Very satisfied with the shop.,2024-10-04 15:11:53
Shop_U,5,"Excellent quality, fast delivery!",2024-11-09 12:45:24
Shop_U,5,Very satisfied with the shop.,2024-10-10 00:08:16
Shop_U,4,Timely delivery and good products.,2025-02-21 05:17:51
Shop_U,5,Very satisfied with the shop.,2024-08-31 16:02:01
Shop_T,3,"Excellent quality, fast delivery!",2024-09-22 05:49:13
Shop_T,3,"Excellent quality, fast delivery!",2024-12-14 07:49:23
Shop_D,4,"Excellent quality, fast delivery!",2025-01-02 14:06:29
Shop_O,3,Timely delivery and good products.,2025-01-17 17:35:08
Shop_M,4,Items were fresh and well-packed.,2025-01-04 17:02:27
Shop_E,5,Items were fresh and well-packed.,2024-08-31 19:43:41
Shop_O,3,Very satisfied with the shop.,2024-11-01 07:07:25
Shop_P,4,Timely delivery and good products.,2024-11-04 21:04:38
Shop_O,3,Great service as always.,2024-12-06 04:17:27
Shop_N,3,"Excellent quality, fast delivery!",2024-10-02 21:36:00
Shop_H,3,Very satisfied with the shop.,2024-11-05 07:41:04
Shop_X,4,Items were fresh and well-packed.,2024-12-31 11:15:47
Shop_I,4,Great service as always.,2024-09-26 09:37:40
Shop_E,5,Items were fresh and well-packed.,2024-12-22 10:37:53
Shop_Z,3,Timely delivery and good products.,2024-09-08 01:53:37
Shop_Z,5,"Excellent quality, fast delivery!",2024-12-02 07:38:57
Shop_D,4,"Excellent quality, fast delivery!",2024-12-25 07:30:08
Shop_H,3,Timely delivery and good products.,2025-02-21 09:10:31
Shop_S,2,"Poor quality items, some were stale.",2024-12-07 06:08:13
Shop_G,5,"Excellent quality, fast delivery!",2024-12-06 08:49:21
Shop_H,4,Items were fresh and well-packed.,2024-09-04 07:58:58
Shop_S,4,Great service as always.,2024-09-22 20:51:24
Shop_K,1,Items not as expected.,2024-11-20 22:00:16
Shop_U,4,Items were fresh and well-packed.,2024-09-26 10:41:21
Shop_B,4,Very satisfied with the shop.,2025-02-09 09:07:10
Shop_B,3,"Excellent quality, fast delivery!",2025-02-25 09:34:17
Shop_T,5,Very satisfied with the shop.,2025-01-23 03:55:45
Shop_I,3,Items were fresh and well-packed.,2024-10-08 12:45:30
Shop_H,1,Delivery was very late.,2024-12-06 08:11:50
Shop_B,4,Great service as always.,2025-01-04 07:07:11
Shop_L,4,Items were fresh and well-packed.,2024-12-06 00:07:09
Shop_U,5,"Excellent quality, fast delivery!",2024-11-18 21:51:59
Shop_A,5,Items were fresh and well-packed.,2024-10-09 05:43:29
Shop_O,4,Items were fresh and well-packed.,2024-11-28 17:24:50
Shop_L,4,"Excellent quality, fast delivery!",2025-02-15 18:31:36
Shop_S,3,Great service as always.,2024-12-07 17:20:50
Shop_T,4,Great service as always.,2025-01-07 06:05:15
Shop_Q,3,Great service as always.,2025-01-24 09:34:07
Shop_H,5,Very satisfied with the shop.,2024-10-06 13:28:30
Shop_X,2,Some items were damaged.,2025-01-06 01:32:37
Shop_Z,5,Very satisfied with the shop.,2024-11-11 04:59:07
Shop_D,2,"Poor quality items, some were stale.",2025-01-03 13:20:55
Shop_R,4,Very satisfied with the shop.,2025-01-03 04:56:47
Shop_P,3,Great service as always.,2024-12-08 09:59:19
Shop_X,3,Timely delivery and good products.,2025-01-05 13:06:47
Shop_S,5,Great service as always.,2024-10-12 00:52:15
Shop_T,2,"Poor quality items, some were stale.",2024-09-08 02:27:41
Shop_C,1,"Poor quality items, some were stale.",2024-09-09 01:48:59
Shop_Z,4,Timely delivery and good products.,2024-11-23 07:12:18
Shop_B,4,Very satisfied with the shop.,2025-02-06 18:37:26
Shop_Z,3,"Excellent quality, fast delivery!",2024-10-25 05:52:49
Shop_S,5,Very satisfied with the shop.,2025-01-10 16:46:07
Shop_B,5,Items were fresh and well-packed.,2025-01-24 07:22:41
Shop_P,2,Items not as expected.,2025-01-03 02:32:58
Shop_J,3,"Excellent quality, fast delivery!",2025-01-22 15:29:43
Shop_Y,5,Timely delivery and good products.,2024-09-11 02:47:46
Shop_Q,5,"Excellent quality, fast delivery!",2025-01-07 22:52:40
Shop_W,3,Timely delivery and good products.,2025-02-10 05:31:14
Shop_A,5,Items were fresh and well-packed.,2024-10-06 07:33:22
Shop_L,5,Timely delivery and good products.,2024-11-03 11:42:54
Shop_B,5,"Excellent quality, fast delivery!",2025-01-05 00:14:33
Shop_O,5,"Excellent quality, fast delivery!",2025-01-06 11:43:48
Shop_W,2,Delivery was very late.,2024-09-28 01:02:17
Shop_W,4,"Excellent quality, fast delivery!",2024-10-31 16:10:28
Shop_M,4,Items were fresh and well-packed.,2024-10-18 04:08:31
Shop_G,5,"Excellent quality, fast delivery!",2024-09-23 10:35:11
Shop_O,4,"Excellent quality, fast delivery!",2024-11-08 19:49:12
Shop_K,3,Items were fresh and well-packed.,2024-11-23 00:38:53
Shop_F,4,Very satisfied with the shop.,2024-12-09 18:56:11
Shop_A,4,Timely delivery and good products.,2025-01-14 09:56:44
Shop_T,4,Great service as always.,2025-02-17 12:58:33
Shop_N,4,Timely delivery and good products.,2024-12-19 22:24:11
Shop_L,5,Items were fresh and well-packed.,2025-01-17 20:05:23
Shop_U,5,Timely delivery and good products.,2025-02-03 08:18:54
Shop_I,1,Unsatisfactory service.,2024-10-31 18:09:15
Shop_G,5,Very satisfied with the shop.,2024-09-07 09:07:12
Shop_Q,2,Unsatisfactory service.,2025-02-18 22:45:09
Shop_P,5,Great service as always.,2024-11-17 15:36:19
Shop_M,4,Items were fresh and well-packed.,2024-09-04 03:58:54
Shop_D,5,Timely delivery and good products.,2024-12-15 22:51:13
Shop_C,5,Items were fresh and well-packed.,2025-02-09 22:21:20
Shop_K,5,Very satisfied with the shop.,2024-09-04 23:44:44
Shop_C,4,"Excellent quality, fast delivery!",2024-09-13 18:53:40
Shop_N,3,"Excellent quality, fast delivery!",2024-10-07 05:54:15
Shop_Q,4,Items were fresh and well-packed.,2024-11-12 05:01:39
Shop_X,3,Very satisfied with the shop.,2024-10-12 10:57:28
Shop_Y,5,Great service as always.,2024-10-25 16:51:12
Shop_R,3,Very satisfied with the shop.,2024-08-31 21:53:56
Shop_P,5,Very satisfied with the shop.,2025-01-09 20:44:55
Shop_K,5,Items were fresh and well-packed.,2024-10-14 06:24:56
Shop_L,5,Great service as always.,2024-09-21 17:05:48
Shop_S,3,Items were fresh and well-packed.,2024-09-29 11:39:14
Shop_R,5,Very satisfied with the shop.,2024-09-23 02:27:11
Shop_R,4,Timely delivery and good products.,2025-02-12 09:22:00
Shop_D,5,Great service as always.,2025-01-18 03:50:49
Shop_L,4,Items were fresh and well-packed.,2025-01-16 13:50:04
Shop_E,5,Great service as always.,2025-01-01 23:59:21
Shop_H,4,"Excellent quality, fast delivery!",2024-12-25 00:37:26
Shop_D,5,Great service as always.,2024-09-01 17:30:34
Shop_Z,4,"Excellent quality, fast delivery!",2024-12-10 21:43:04
Shop_P,2,"Poor quality items, some were stale.",2024-11-17 09:22:53
Shop_H,4,Very satisfied with the shop.,2024-11-01 12:06:48
Shop_L,4,Timely delivery and good products.,2025-01-25 07:31:11
Shop_P,3,Timely delivery and good products.,2024-09-06 06:04:17
Shop_U,4,Very satisfied with the shop.,2024-09-22 03:58:04
Shop_K,4,Very satisfied with the shop.,2024-11-11 20:44:10
Shop_L,5,Timely delivery and good products.,2024-09-18 23:43:33
Shop_R,4,Very satisfied with the shop.,2024-10-15 04:47:29
Shop_Y,4,"Excellent quality, fast delivery!",2025-02-12 12:23:06
Shop_A,4,"Excellent quality, fast delivery!",2024-09-01 21:50:06
Shop_A,4,Great service as always.,2024-10-05 10:47:49
Shop_N,1,Some items were damaged.,2025-01-17 00:47:22
Shop_U,5,Very satisfied with the shop.,2024-12-11 12:44:26
Shop_P,3,Great service as always.,2024-10-29 21:35:48
Shop_I,5,Great service as always.,2025-02-02 02:02:54
Shop_R,5,Timely delivery and good products.,2024-12-21 21:01:55
Shop_J,5,Timely delivery and good products.,2024-09-16 09:06:50
Shop_B,4,Very satisfied with the shop.,2024-09-04 21:24:41
Shop_E,1,"Poor quality items, some were stale.",2024-11-21 02:04:54
Shop_P,3,Great service as always.,2024-10-18 11:05:56
Shop_S,3,Items were fresh and well-packed.,2025-02-24 16:25:53
Shop_S,2,Unsatisfactory service.,2024-12-02 18:16:58
Shop_M,1,Some items were damaged.,2024-11-04 13:49:29
Shop_G,5,"Excellent quality, fast delivery!",2024-12-08 13:13:49
Shop_B,3,Items were fresh and well-packed.,2025-01-21 04:40:01
Shop_N,5,Timely delivery and good products.,2024-12-16 11:05:52
Shop_F,3,Timely delivery and good products.,2024-09-24 17:30:21
Shop_A,3,Items were fresh and well-packed.,2024-09-29 00:22:14
Shop_S,5,"Excellent quality, fast delivery!",2025-01-16 10:03:31
Shop_Q,3,Great service as always.,2024-11-08 19:43:26
Shop_H,3,Items were fresh and well-packed.,2025-01-02 03:20:56
Shop_J,5,Items were fresh and well-packed.,2025-02-22 23:03:22
Shop_H,4,Items were fresh and well-packed.,2025-02-09 20:18:52
Shop_B,4,Timely delivery and good products.,2024-11-01 09:32:48
Shop_H,4,Items were fresh and well-packed.,2024-12-31 21:37:46
Shop_F,5,"Excellent quality, fast delivery!",2025-01-20 22:50:55
Shop_W,3,"Excellent quality, fast delivery!",2024-10-01 08:22:00
Shop_B,3,Great service as always.,2024-12-16 19:55:42
Shop_S,4,"Excellent quality, fast delivery!",2025-01-23 00:05:23
Shop_D,3,Items were fresh and well-packed.,2024-10-15 05:46:42
Shop_V,3,Great service as always.,2024-12-21 06:57:07
Shop_S,3,Great service as always.,2024-10-13 23:00:36
Shop_U,4,Timely delivery and good products.,2024-09-24 16:37:38
Shop_E,3,Very satisfied with the shop.,2024-10-15 08:14:10
Shop_X,4,Items were fresh and well-packed.,2025-01-02 07:48:15
Shop_D,4,Items were fresh and well-packed.,2024-09-11 00:11:07
Shop_Y,3,"Excellent quality, fast delivery!",2024-11-20 08:48:06
Shop_Y,4,Timely delivery and good products.,2025-02-22 14:13:42
Shop_W,5,Timely delivery and good products.,2024-09-11 06:26:14
Shop_N,4,"Excellent quality, fast delivery!",2024-10-04 06:22:35
Shop_H,5,"Excellent quality, fast delivery!",2025-01-23 14:40:44
Shop_D,3,Very satisfied with the shop.,2024-09-14 22:29:40
Shop_K,5,"Excellent quality, fast delivery!",2024-12-28 07:51:33
Shop_J,5,"Excellent quality, fast delivery!",2024-12-19 08:29:56
Shop_K,3,Items were fresh and well-packed.,2024-10-09 02:21:08
Shop_U,5,Very satisfied with the shop.,2024-10-20 17:52:11
Shop_B,2,Some items were damaged.,2024-12-17 10:48:03
Shop_E,4,Very satisfied with the shop.,2024-09-02 23:22:47
Shop_U,1,Some items were damaged.,2025-02-12 23:55:31
Shop_K,2,Delivery was very late.,2024-11-25 21:14:47
Shop_B,3,"Excellent quality, fast delivery!",2024-11-18 16:55:23
Shop_B,3,Timely delivery and good products.,2024-12-31 08:04:39
Shop_H,4,Very satisfied with the shop.,2025-01-02 07:10:16
Shop_I,5,"Excellent quality, fast delivery!",2024-11-03 09:11:40
Shop_B,4,Very satisfied with the shop.,2024-12-22 17:23:28
Shop_E,2,Some items were damaged.,2025-01-17 15:57:40
Shop_Q,3,Great service as always.,2024-11-10 14:10:30
Shop_B,5,"Excellent quality, fast delivery!",2024-09-18 06:55:10
Shop_X,4,Great service as always.,2025-02-26 10:45:59
Shop_Z,4,Great service as always.,2024-11-27 14:54:56
Shop_P,5,"Excellent quality, fast delivery!",2025-01-11 03:53:31
Shop_O,3,Timely delivery and good products.,2024-11-02 16:00:03
Shop_Z,3,Great service as always.,2025-01-16 11:33:39
